ResponseId,evidence_free,evidence_based,speech_id,text,item_id,party,chamber,decade_group,starting_year,bin,evidence_minus_intuition_score
R_2X5rTngdl8IcYFR,4.0,3.0,630011953,Mr. Chairman. jugt to get straight this matter of the manufacturers indorsement of this bill. I want to say that I never heard of any manufacturer in the woolen interest protesting against it. and I have no doubt in the world that typical standpatters like my friend PAYNE and my friend FORaDNEY and my friend MOORE would never have voted for it if they had ever had any protest against it from the manufacturers.,66,Democrat,H,3,1913,"(-3.197, -0.861]",-2.1194015
R_2X5rTngdl8IcYFR,4.0,3.0,630411778,That was brought out in the hearings. They said that the supervision over the manufacture of serum is a question that will require experience and perhaps a greater degree of thoroughness than they have given it in the past. but the department recognizes that condition and proposes to meet It.,79,Democrat,H,3,1915,"(1.475, 3.811]",2.2529383
R_2X5rTngdl8IcYFR,3.0,4.0,650335683,Mr. President. I ask leave to modify the order made for the printing of additional copies of the revenue bill so as to provide for the printing of as many copies within the $500 limitation as Is prescribed by Law.,78,Democrat,S,3,1917,"(1.475, 3.811]",1.6677039
R_2X5rTngdl8IcYFR,3.0,2.0,670139279,The bill that is presented now is based upon the theory-,395,Republican,S,4,1921,"(1.647, 3.797]",0.8136595
R_2X5rTngdl8IcYFR,3.0,4.0,670190873,The time has been so brief that I have only been able to study what we have been doing in this country.,393,Republican,H,4,1921,"(1.647, 3.797]",1.6164389
R_2X5rTngdl8IcYFR,3.0,2.0,670249800,at the last session of the legislature. This law is now being tested in the Supreme Court. asd I have no hesitation in saying that its constitutionality will be upheld. There are prospects of further State legislation. It is the judgment of all dairying and farm organizations represented in Washington that with tie State legislation and the enactment of this bill ito law we shall have :a remedy which will effectually outlaw lilled milk. [NOvE.-The bill passed the House on May 25. 1922. by a vote of 250 to 40.1,389,Republican,H,4,1921,"(-0.503, 1.647]",0.02296707
R_2X5rTngdl8IcYFR,3.0,4.0,680218400,Drunkenness is far more due to the weakness of the drinker than to the strength of the drink. A man who is weak enough to become a miserable toper or drunkard would probably be weak enough to fall into some other form of sensual indulgence that is equally as injurious. or even more so.,85,Democrat,S,4,1925,"(-5.43, -3.095]",-2.2452755
R_2X5rTngdl8IcYFR,3.0,2.0,690220684,Did he give it to you? Mr. BLANTON. You had three boys in the war?,83,Democrat,H,4,1927,"(-5.43, -3.095]",-0.96832246
R_2X5rTngdl8IcYFR,2.0,4.0,750145656,Does not the gentleman think our exchange system has again failed. and that this is a panic? Our private monetary system has again collapsed. Why try to deceive the people by calling it a recession when it is nothing but an oldfashioned monetary and exchange panic?,107,Democrat,H,5,1937,"(-3.162, -0.847]",-1.9401503
R_2X5rTngdl8IcYFR,3.0,4.0,760196754,Mr. President. I submit for reference to the Committee on Printing with a view to its being printed as a document. with illustrations. a statement on the defense coordination of the Panama and Florida Canals.,139,Democrat,S,6,1939,"(1.357, 3.646]",1.7991837
R_2X5rTngdl8IcYFR,3.0,4.0,780083282,May I corret the gentleman and say that all of them have that?,122,Democrat,H,6,1943,"(-5.517, -3.22]",-0.49338279999999995
R_2X5rTngdl8IcYFR,3.0,2.0,790084715,I merely said I do not know of any which has.,127,Democrat,S,6,1945,"(-3.22, -0.931]",-1.0155665
R_2X5rTngdl8IcYFR,4.0,2.0,810249769,I did not hear the name mentioned. But. it was out of that source that came those charges which were antiSemitic. for example. appeals to bigotry and hatred. appeals to people who were not possessed of a hateful mind and who did not have a hateful mind. but appeals to their emotionalism. the result of which would be the same as if they did possess a hateful mind.,145,Democrat,H,7,1949,"(-4.54, -2.449]",-1.5767062
R_2X5rTngdl8IcYFR,4.0,3.0,830167530,the greatest slavemasters in all of history. Yalta sounded the death knell for a free postwar Polish State. The decent. freedomliving people of Poland were again subjected to tyranny and oppression without the opportunity to fire a shot in their own defense. without a word of protest from their friends. Polish independence was flooded under the Red tide of Russian aggression. So once more the land of the Poles is occupied and oppressed. Her rights and beliefs are trampled upon like so much dirt. Her sons and daughters are executed at Katyn or exiled to slavelabor death camps for daring to speak against this regime which fears all that the Polish people hold to be true and decent and humane. Are we to stand idly aside and allow this most monstrous of crimes to be perpetrated? Are we. who believe so strongly in justice. to condone such outrageous injustices? Mr.,439,Republican,H,7,1953,"(-4.432, -2.345]",-2.7991773999999996
R_2X5rTngdl8IcYFR,4.0,3.0,830221010,But that has not been given to us and the report does not contain that blue sheet.,160,Democrat,H,7,1953,"(1.717, 3.799]",2.2091804
R_2X5rTngdl8IcYFR,4.0,2.0,880128718,the debris of senselessness for words of consolation to a bereaved family or a bereaved Nation. And yet. in the grand design which men cannot comprehend. is it not possible that our fallen leader. in his martyrdom. won a mighty battle against the forces of darkness and malice and intolerance? I do not believe John F. Kennedy ever hated anyone. If he hated anything it was hatred itself. During recent months. many of us. hypnotized into immobility. watched a blight creep over our land. False prophets arose among us and preached the devils doctrine in the name of patriotism. Wrapping the flag about their shoulders. they set themselves up as infallible. daring to judge the patriotism of their fellow men. Restlessly. they cast about for a man on horseback. They railed at the President. the Supreme Court. the Congress. Those who differed with them were traitors and there were hints,164,Democrat,H,8,1963,"(-5.29, -2.99]",-2.4730256
R_2X5rTngdl8IcYFR,2.0,2.0,910283758,be used. The act would provide training for both teachers and student teachers. through new courses of study. summer workshops. symposiums. seminars and conferences. It would be particularly helpful to the Office of Education in preparing undergraduate teachers. an area in which the Office has virtually no authority. It would create an Advisory Committee on Environmental Education. composed of 21 distinguished persons familiar with education. information media. and the problems of the environment and ecological balance. The committee would advise on the programs administration. make recommendations on the allocation of funds. review applications and evaluate projects carried out under the act. Mr. President. incentives and proscriptions on industry and other sources of pollution are a necessary part of securing a decent environment. but they will not be sufficient. The issue involved is not only mans survival. but also the quality of that survival. Quality is inextricably bound to the science,199,Democrat,S,9,1969,"(1.827, 3.87]",3.524932
R_2X5rTngdl8IcYFR,3.0,4.0,920086292,Mr. Chairman. I would like to allude very briefly to a statement that was made previously. and in the same breath remind that speaker that one of our late. great contemporaries and statesman. Bernard Baruch. once said: Every man has the right to his opinion. but no man has the right to be wrong In his facts. Mr. Chairman. I refer to the statement made by the gentleman from New York,486,Republican,H,9,1971,"(-2.949, -0.645]",-0.82401496
R_2X5rTngdl8IcYFR,3.0,3.0,940112268,I am not charging the Senator with a smokescreen. I think the amendment itself Is a smokescreen. and it does-,481,Republican,S,9,1975,"(-5.263, -2.949]",-1.2079678999999999
R_2X5rTngdl8IcYFR,3.0,2.0,CREC-2020-07-23-pt1-PgH3702-2-3,"want to be clear that this violent language is about power. It is about power. It is about exerting power. It is about wielding power over people. It is about fear of people who may well be smarter than you, harder working than you, and more dedicated to achieving justice than you. It just may be that. It may be that fear. It is about diminishing and disrespecting when you have no other tools to do so. And it is not new. Madam Speaker, you were right here managing time on this floor when I, as a new Member of Congress, was told by one of my Republican colleagues that I was a young lady, and I didn't know a damn thing about what I was talking about. You were right here managing the time for our side, and you helped me through that moment. Thank you. And I did",285,Democrat,H,14,2019,"(-2.035, -0.358]",-2.2090745
R_ALMNUDmePZnrFtv,2.0,5.0,1020023215,Mr. Speaker. I thank the gentleman for yielding me this time. Mr. Speaker. the gentleman from New York has to be personally complimented by me for advancing my proposal in front of the Rules Committee and special thanks to the gentleman from California for endorsing it in that very same body. It was a modest proposal. one that everyone understands. The budget that broke down last fall and which will be remembered by the American public broke down at a point when our troops were poised for battle in the Persian Gulf and the U.S. Government shut down. Why did it shut down? Because the Congress was irresponsible. It continues to be irresponsible year after year. allowing the fiscal deadline of September 30 to come and go without fashioning a budget. and what does it resort to? Temporary funding measures beginning October 1 to another date. like October 15 or,526,Republican,H,11,1991,"(-2.325, -0.418]",-0.5146039000000001
R_ALMNUDmePZnrFtv,2.0,5.0,1020210397,safety program. Fifth. increased Federal law protection for railroad safety inspectors. Sixth. a rulemaking to assess the adequacy of current locomotive cab safety and environmental standards. Seventh. a safety Inquiry on FRAs radio standards and procedures. and on the status of advanced train control systems and whether Federal standards are necessary to ensure that they provide for positive train separation and are compatible nationwide. Eighth. Continuation of the Northeast Corridor Safety Committee created by RSIA. Ninth. a progress report on efforts to Improve working conditions in train dispatching offices. Tenth. establishment of new procedures to set monetary damage thresholds for the reporting of railroad accidents. Eleventh. an assessment of the use and effectiveness of total quality management techniques on railroad safety practices. Twelfth. a requirement that railroads report remedial actions taken after notification by FRA that a civil penalty will be recommended for a failure to comply with railroad safety,238,Democrat,S,11,1991,"(1.955, 3.919]",2.7489157000000004
R_ALMNUDmePZnrFtv,2.0,5.0,1040107040,past month before this Congress. will have a larger effect on consumers pocketbooks. Consumers are promised choice and lower prices. Choice at what cost? Instead of creating competition by lowering prices and improving service. this bill allows the three monopolies to become one giant concentrated monopoly. It allows the 3 major players (cable. long distance. & local telephone) to partner or swallow potential competitors in each others business. The concentration could result in one company controlling the programs content. your local television stations. your cable company. your local telephone company. your long distance company. your local radio station. and your newspaper. Thus. controlling every aspect of access to information a consumer has and obliterate the likelihood of true competition. This bill also promises job creation. I doubt it. Last time I checked. we do not even produce a single television or telephone in our country. In addition. I have very,235,Democrat,H,11,1995,"(-0.00931, 1.955]",-0.13305372
R_ALMNUDmePZnrFtv,2.0,4.0,1080136911,Your request that you be allowed 5 minutes now. then we go to the bill. and then you be recognized to speak for an additional 10 minutes.,255,Democrat,S,12,2003,"(-0.287, 1.569]",0.3830489
R_ALMNUDmePZnrFtv,4.0,2.0,1140073112,his iPad. one after the other. of the children he treated in Syria. These children are the victims of barrel bombs by President Assad and now of Russian bombing. He goes to communities where people are literally starving to deathstarving to death in the year 2016in Syria. He shows me their emaciated bodies until I turn away and cant look at it anymore. I say to my colleagues in the Senate who follow this debate and know what we are voting onthe Syrian crisis we face today. I would argue. is the most serious humanitarian crisis of our time. What is happening to these people is unimaginable. A few months ago I joined several of my colleagues and we went to an island in Greece called Lesbos. This is the stopping point for the refugees. Once the Syrian refugees have gone through Turkey. they cross a span of 8 to,266,Democrat,S,13,2015,"(-2.409, -0.471]",-1.6711721000000002
R_ALMNUDmePZnrFtv,5.0,1.0,460140767,What I mean is to cast a veil of oblivion over the whole thing.,3,Democrat,H,0,1881,"(-4.995, -2.779]",-2.0922381999999997
R_ALMNUDmePZnrFtv,1.0,1.0,470000326,I alluded to someb6dy who was elected as a democrat. and who was going to vote as a republican.,4,Democrat,S,0,1881,"(-4.995, -2.779]",-1.9436133999999998
R_ALMNUDmePZnrFtv,5.0,1.0,490069004,I dare the gentleman to deny it. or any one else.,2,Democrat,H,0,1885,"(-4.995, -2.779]",-1.1335781
R_ALMNUDmePZnrFtv,4.0,2.0,570118606,"used with reckless disregard of the rights of the people for and in behalf of the trusts. We all know that the President has repeatedly said that there are ""good trusts and bad trusts."" Who should be the judge on such a question? It should not be one man. It should be the law. under the rules and regulations prescribed for eliciting truth. This is a government of law. I have always believed that the least left to the discretion of a public official is the best law for the rights and interests of the people. Why should the Littlefield bill be doomed to a languishing death in place of this Nelson substitute? That is the question that we have got to answer before the people. Tis said that it will surely die. I will refrain. Mr. Speaker. from entering into a discussion of the tariff question. Gentlemen have heard",50,Democrat,H,2,1903,"(-2.655, -0.623]",-1.4598229
R_ALMNUDmePZnrFtv,4.0,1.0,600029576,If the gentleman will allow me. I hardly think he intends to convey the impression that we have the right or that there is any authority now vested in Congress by any law to compel the railroads to carry the mail.,342,Republican,H,2,1907,"(-2.815, -0.704]",-0.6974531
R_ALMNUDmePZnrFtv,4.0,2.0,600062588,I was going to suggest that. Inasmuch as there is twenty minutes debate on a side. in that time we might telephone up and find out whether the report has been )repared. if we do not absolutely know it now.,351,Republican,H,2,1907,"(-0.704, 1.406]",0.55825907
R_ALMNUDmePZnrFtv,5.0,2.0,630107580,Oh. no. That is a matter of administration absolutely necessary for the management of any banking system. It is provided that there shall be an examination. just as there is an examination for life insurance. That is the comparison usually made.,372,Republican,S,3,1913,"(1.466, 3.618]",2.833285
R_ALMNUDmePZnrFtv,2.0,4.0,650335683,Mr. President. I ask leave to modify the order made for the printing of additional copies of the revenue bill so as to provide for the printing of as many copies within the $500 limitation as Is prescribed by Law.,78,Democrat,S,3,1917,"(1.475, 3.811]",1.6677039
R_ALMNUDmePZnrFtv,4.0,2.0,660009026,There is a penalty. is there not:. for marketing a grain in violation of the grade fixed?,391,Republican,H,4,1919,"(-0.503, 1.647]",0.41974799999999995
R_ALMNUDmePZnrFtv,2.0,5.0,670095151,"I agree entirely with that. Mr. President. aid I tiik organizations engaged along the lines indicated by the rules and regulations ought to be exempt. and if the department construes tile words ""agricultural or lorticultural organizatiolis ""found on page 79 as being tied to the provisions found in subdivision 10 and construes tie provisions of subdivision 10 as a limitation upon those words I have no objection.",92,Democrat,S,4,1921,"(-0.769, 1.557]",0.30352226
R_ALMNUDmePZnrFtv,5.0,1.0,680218400,Drunkenness is far more due to the weakness of the drinker than to the strength of the drink. A man who is weak enough to become a miserable toper or drunkard would probably be weak enough to fall into some other form of sensual indulgence that is equally as injurious. or even more so.,85,Democrat,S,4,1925,"(-5.43, -3.095]",-2.2452755
R_ALMNUDmePZnrFtv,2.0,1.0,690147873,The Senator will excuse me for speaking as plainly as I have-,380,Republican,S,4,1925,"(-4.813, -2.654]",-0.67794925
R_ALMNUDmePZnrFtv,1.0,1.0,710201302,I regret that time does not permit a further analysis of time pending resolution.,412,Republican,H,5,1929,"(1.554, 3.72]",0.84455395
R_ALMNUDmePZnrFtv,5.0,2.0,730077435,Does the gentleman mean to say that the additional cost to the borrower is left to administrative authority?,408,Republican,H,5,1933,"(-0.612, 1.554]",0.7299853000000001
R_ALMNUDmePZnrFtv,4.0,2.0,730089891,I hope the gentleman will not insist upon that. I cannot say that I have no objection. but while I have the floor and the patience of the House. I will be glad to explain anything with reference to the matter. and I think the gentleman is too good a lawyer to have any serious apprehension as to the possible consequences of this legislation.,108,Democrat,H,5,1933,"(-3.162, -0.847]",-0.8540075999999999
R_ALMNUDmePZnrFtv,2.0,4.0,750010905,I may state to the Senator that I do not claim to have explored the subject completely. but I have read all I could find on it up to this time. I find only seven instances in which such a thing was done. and in each instance the action of the court was met with decided and vigorous protest. In the case in Rhode Island. to which the Senator refers. the judges were summoned before the legislature. and in the case in. North Carolina. to which he refers. a member of the Constitutional Convention from that Statethe Governorimmediately repudiated the action. On investigation I could find only seven instances in which the power had ever been even remotely asserted up to that time.,112,Democrat,S,5,1937,"(-0.847, 1.468]",0.7746084
R_ALMNUDmePZnrFtv,2.0,3.0,760232372,If I may answer the gentlewoman from Massachusetts. a penalty provision is contained in this bill. The grower is penalized to the extent of $10 per day per child for every day the underage child was permitted to work.,132,Democrat,H,6,1939,"(-0.931, 1.357]",0.5880103
R_ALMNUDmePZnrFtv,4.0,2.0,780170108,"I listened to Walter last night. and I got the impression that. like every rat that deserts a sinking ship. he senses that the people are not with him. that they have caught on to his false. malicious propaganda. and that his foulness. his dirtiness. and his nastiness have so disgusted them that he no longer is the ""great I am."" But his sense of egotism is so developed and his mind is so warped and twisted. that having once started on that course it will be very difficult if not impossible for him ever to be decent. as are other Americans.",420,Republican,H,6,1943,"(-4.946, -2.789]",-2.6481497000000003
R_ALMNUDmePZnrFtv,2.0,4.0,810200277,Mr. Speaker. a soldier passed on today before my committee. a Member of this House. the distinguished Congressman from my State of Illinois. RALPH CHURCH. while testifying there on a matter that concerns every person within these United States. I never heard him. and I have heard him often. give a finer dissertation upon the subject matter he was interested in. I never heard a person show creater concern or more earnestness in his delivery than did our distinguished colleague on this occasion. So I say to you. passing away as he did. carrying out his duty as he saw it. he died a soldier on the field of battle. I grieve with you in his passing. My heart goes out to his loved ones. But I am sure if that great soldier. RALPH CHURCH. could speak to us now and speak to his loved ones. he would speak in,146,Democrat,H,7,1949,"(-2.449, -0.366]",-1.5430226
R_ALMNUDmePZnrFtv,1.0,5.0,820058771,That is correct. The bill provides that they do not draw their retirement pay and that of the office to which they will be appointed.,155,Democrat,H,7,1951,"(-0.366, 1.717]",0.7596904999999999
R_ALMNUDmePZnrFtv,2.0,4.0,820126810,I. too. should like to express my appreciation of the splendid statement which the Senator from Wyoming has just made in regard to our active and inactive reservists. Can the Senator give us any assurance as to when the inactive or involuntary reservists can expect to be discharged from the service?,442,Republican,S,7,1951,"(-2.345, -0.267]",-0.33005565
R_ALMNUDmePZnrFtv,1.0,5.0,860214915,conservation districts. and so on. As of June 30. last year. the Service reported soil conservation districts had a total of approximately 1.860.000 cooperators. operating nearly 564 million acres. More than 11/4 million of those soil conservation district cooperators had basic conservation plans. on more than 365 million acres in about 2.860 soil conservation districts. There are similar figures showing notable progress with the land capability surveys and with the individual conservation measures that have been applied on the farms and watersheds of America. They only serve to confirm further the gains we have made. But we are still in the beginning stage. The conservation job is far from being completed. Some 2 million farms still need basic conservation plans. Thousands of tributary watersheds need the combined conservation land treatment and structural work contemplated in the Watershed Protection and Flood Prevention Act. What I have said before still holds true,473,Republican,H,8,1959,"(1.513, 3.546]",1.1963536
R_ALMNUDmePZnrFtv,2.0,5.0,910283758,be used. The act would provide training for both teachers and student teachers. through new courses of study. summer workshops. symposiums. seminars and conferences. It would be particularly helpful to the Office of Education in preparing undergraduate teachers. an area in which the Office has virtually no authority. It would create an Advisory Committee on Environmental Education. composed of 21 distinguished persons familiar with education. information media. and the problems of the environment and ecological balance. The committee would advise on the programs administration. make recommendations on the allocation of funds. review applications and evaluate projects carried out under the act. Mr. President. incentives and proscriptions on industry and other sources of pollution are a necessary part of securing a decent environment. but they will not be sufficient. The issue involved is not only mans survival. but also the quality of that survival. Quality is inextricably bound to the science,199,Democrat,S,9,1969,"(1.827, 3.87]",3.524932
R_ALMNUDmePZnrFtv,5.0,1.0,960213810,Mr. Speaker. back in 1956 the Hungarians came out and revolted. but they all got killed because they listened to this propaganda that was put out.,202,Democrat,H,10,1979,"(-4.707, -2.632]",-1.9522473999999999
R_ALMNUDmePZnrFtv,1.0,5.0,CREC-2021-03-05-pt1-PgS1219-2-875,"1970 report indicated that prior to 1968, no Black farmer had ever been elected to any former Agricultural Stabilization and Conservation Service committee at the county level in the South. In 1970, two out of more than 4,100 committee members in the South were Black farmers, even though there were 58 counties in the South, where Black farmers comprised a majority of the farm operator population. It is hard to view as coincidence then that half a million Black-owned farms in the U.S. failed between 1950 and 1975. In 1982, the United States Commission on Civil Rights issued another report on the rapid decline of Black-operated farms. The report noted that between 1970 and 1980, the Black farm population declined 65 percent, compared to a 22 percent decline in the white farm population. The report also documented numerous discrimination complaints filed against USDA field offices regarding the administration of farm",290,Democrat,S,14,2021,"(-0.358, 1.32]",0.9878214
R_1irEv2hA6Jaf7LF,1.0,5.0,1010031536,Another concern that I have is about the need for the presentation of an image of whatever materials it may be that triggers the alarm on any detection device. For the protection of the operators. bystanders. and others. it seems to me that. once there Is a determination that a plastic explosive may be present. it would be helpful to know where in the suitcase it is likely to be. what shape it is. and any other information that could be gleaned from an image. Will the Senator Incorporate an imaging standard in discussions in the conference committee. or in any future Initiatives on airport security?,534,Republican,S,11,1989,"(1.489, 3.396]",1.9569477
R_1irEv2hA6Jaf7LF,1.0,5.0,1020242264,"Mr. President. today the Senate takes up the the conference report to accompany H.R. 5334. the National Affordable Housing Act Amendments of 1992. One important section of that bill is title X. the Residential LeadBased Paint Hazard Reduction Act of 1992. This title includes important provisions aimed at reducing the threat of lead poisoning in children. In addition. title X contains a provision directing the Environmental Protection Agency to promulgate regulations. within 18 months. to identify leadcontaminated soils. This provision and the definition in the bill of ""leadcontaminated soils"" is of concern to me and to the citizens of Aspen. Telluride. Leadville. and other Colorado communities. EPA should interpret the language in title X as an indication of the need for regulations that reflect appropriate and varying action levels for lead in soils. EPAs rules should provide for the necessary sitebysite analysis that is implicit in the bills definition of",532,Republican,S,11,1991,"(1.489, 3.396]",2.2221255
R_1irEv2hA6Jaf7LF,1.0,5.0,1040091825,background. and that brings us to today. After a week of debate and amendments as well as the negotiations that preceded floor action. the DoleJohnston substitute has been modified in a nunriber of ways. There are. however. major issues that still distinguish the two bills and recommend support for the GlennChafee substitute. In my mind. there are five major areas of difference remaining. First is the issue of how agencies should use regulatory analysis. We believe that agencies should be required to perform risk assessments and costbenefit analyses for all major rules. These analyses should inform agency decisionmaking -inform agency decisionmaking. They should not unilaterally control those decisions and impose leastcost solutions to every problem. Let us put some common sense into this process. We should not unilaterally control those decisions and impose leastcost solutions to every problem. Second is the question of look back. We believe that agencies should,232,Democrat,S,11,1995,"(-0.00931, 1.955]",1.9845988999999997
R_1irEv2hA6Jaf7LF,1.0,5.0,1070144738,the National Park Service testified in support of the legislation. noting that the pipelines would cross or parallel only park roads and not involve other park resources. The National Park Service also assured the committee that all necessary steps would betaken to ensure that these pipelines have no negative impact on park resources or visitor use. Given those assurances and relying upon them. we have no objection to consideration of H.R. 3380 by the House today. * Mr. Speaker. I yield back the balance of my time.,547,Republican,H,12,2001,"(-0.713, 1.526]",1.7411311999999999
R_1irEv2hA6Jaf7LF,1.0,5.0,1110138204,reform legislation when it was publicly issued on March 18. which was 3 days before the House vote took place on March 21. Because of the complexity of the legislation. it was not possible to estimate the bills financial and other impacts before the House or the Senate voted. We began to work on the estimates right away. but were not able to finalize them until the afternoon of Well. obviously. it would have been helpful to have received this information when I had first requested it. It would have been helpful to have received this information before filing the resolution of inquiry. but it doesnt answer the broader question. Okay. I accept the chief actuarys version of the events. He has got no reason to tell me anything other than what is factual and truthful. but if what he says is factual and truthful. the legislation was publicly issued,569,Republican,H,13,2009,"(-0.564, 1.305]",1.9829016
R_1irEv2hA6Jaf7LF,3.0,4.0,1140028041,Mr. Chairman. I rise in opposition to the gentlewomans amendment. The gentlewomans amendment makes everything a priority so that nothing really is. This amendment rubberstamps the administrations budget request. which fails to make choices. spreading a little bit of research funding around to try to please everyone. Compared to the gentlewomans proposal. H.R. 1806 funds 329 more new grants in biology next year. 398 more new grants in computer science. 457 more new grants in engineering. and 955 more new grants in math and the physical sciences. These are research grants that are going to universities and research institutions across the country. fueling innovation and driving economic competitiveness in the United States.,572,Republican,H,13,2015,"(1.305, 3.174]",1.8465798
R_1irEv2hA6Jaf7LF,3.0,3.0,500164556,Was there a bill to allot lands in severalty to the Seneca Indians?,25,Democrat,H,1,1889,"(-5.265, -3.066]",-0.60623443
R_1irEv2hA6Jaf7LF,3.0,1.0,510082149,Oh. yes. Mr. President. I had forgotten that there was a Democratic party in 1878 and 1879 . and I will not believe there was-,322,Republican,S,1,1889,"(-2.727, -0.673]",-2.8724582
